temperature,suitability
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,0
2.2,0
2.3,0
2.4,0
2.5,0
2.6,0
2.7,0
2.8,0
2.9,0
3,0
3.1,0
3.2,0
3.3,0
3.4,0
3.5,0
3.6,0
3.7,0
3.8,0
3.9,0
4,0
4.1,0
4.2,0
4.3,0
4.4,0
4.5,0
4.6,0
4.7,0
4.8,0
4.9,0
5,0
5.1,0
5.2,0
5.3,0
5.4,0
5.5,0
5.6,0
5.7,0
5.8,0
5.9,0
6,0
6.1,0
6.2,0
6.3,0
6.4,0
6.5,0
6.6,0
6.7,0
6.8,0
6.9,0
7,0
7.1,0
7.2,0
7.3,0
7.4,0
7.5,0
7.6,0
7.7,0
7.8,0
7.9,0
8,0
8.1,0
8.2,0
8.3,0
8.4,0
8.5,0
8.6,0
8.7,0
8.8,0
8.9,0
9,0
9.1,0
9.2,0
9.3,0
9.4,0
9.5,0
9.6,0
9.7,0
9.8,0
9.9,0
10,0
10.1,0
10.2,0
10.3,0
10.4,0
10.5,0
10.6,0
10.7,0
10.8,0
10.9,0
11,0
11.1,0
11.2,0
11.3,0
11.4,0
11.5,0
11.6,0
11.7,0
11.8,0
11.9,0
12,0
12.1,0
12.2,0
12.3,0
12.4,0
12.5,0
12.6,0
12.7,0
12.8,0
12.9,0
13,0
13.1,0
13.2,0
13.3,0
13.4,0
13.5,0
13.6,0
13.7,0
13.8,0
13.9,1.19357751634518e-08
14,2.02316490733446e-05
14.1,9.12543696349171e-05
14.2,0.00022519097419281
14.3,0.000424694831897238
14.4,0.000689446918903551
14.5,0.00102902078143256
14.6,0.00147489482523404
14.7,0.00199187255954531
14.8,0.00260101982950075
14.9,0.00331293300877072
15,0.00412915730023636
15.1,0.00504805968986457
15.2,0.0061181083273848
15.3,0.00731145384180452
15.4,0.0086415054426362
15.5,0.0101808982494835
15.6,0.0118492670317816
15.7,0.0137120014410284
15.8,0.0157066646029956
15.9,0.0178597570362038
16,0.0201843317087367
16.1,0.0227384720566706
16.2,0.0255184530134008
16.3,0.0284154657903092
16.4,0.0315461407937382
16.5,0.0349207212125459
16.6,0.0384703339467985
16.7,0.0422620862151228
16.8,0.0463406684138372
16.9,0.0505801542637214
17,0.0551941868295786
17.1,0.0599953723300678
17.2,0.0650549168008062
17.3,0.0704746675662343
17.4,0.0760919205719718
17.5,0.0821326237964669
17.6,0.0883655496163025
17.7,0.0947442352084132
17.8,0.101619504202492
17.9,0.108667197926148
18,0.116131298320429
18.1,0.12384254108426
18.2,0.131912631470077
18.3,0.140217048817048
18.4,0.148682313181851
18.5,0.157458827135523
18.6,0.166592813671306
18.7,0.176139664279458
18.8,0.185959576568342
18.9,0.196026288209613
19,0.206255600596782
19.1,0.216726220147408
19.2,0.227661377382467
19.3,0.238942678708555
19.4,0.250617153960082
19.5,0.262491215589595
19.6,0.274521342749139
19.7,0.286777457969702
19.8,0.299541927968184
19.9,0.312554615598191
20,0.325772552015185
20.1,0.339388775960928
20.2,0.35318877183237
20.3,0.367236504246701
20.4,0.381598994538122
20.5,0.396113972260881
20.6,0.410687182084977
20.7,0.425656467657197
20.8,0.4405935178497
20.9,0.455839072577667
21,0.471182827232641
21.1,0.486553923270303
21.2,0.501867701744835
21.3,0.517872647031281
21.4,0.53386670570723
21.5,0.54963852050424
21.6,0.565949880612757
21.7,0.582111759860276
21.8,0.598179884445287
21.9,0.614284025965313
22,0.630458112256449
22.1,0.646460713428805
22.2,0.662309880232759
22.3,0.678102534308434
22.4,0.693871755889691
22.5,0.709739027510885
22.6,0.725508629473983
22.7,0.741173327297758
22.8,0.756646542851933
22.9,0.771435962426093
23,0.785893401700751
23.1,0.800010734228546
23.2,0.814263317359379
23.3,0.828415906460388
23.4,0.841922959579738
23.5,0.854950203509017
23.6,0.867314100142232
23.7,0.879746626091699
23.8,0.891384705467387
23.9,0.902274604782374
24,0.912863711509052
24.1,0.923265126121435
24.2,0.933145230204982
24.3,0.942454451769204
24.4,0.950671433758815
24.5,0.958835149117642
24.6,0.966258747309646
24.7,0.972980042989435
24.8,0.978954342529533
24.9,0.984507118916583
25,0.98911132364834
25.1,0.992966911551462
25.2,0.995862657180827
25.3,0.997691118247282
25.4,0.999541441279008
25.5,0.999891595406687
25.6,1
25.7,0.999129408604592
25.8,0.997667941468973
25.9,0.994791555987832
26,0.991428877019289
26.1,0.987521076069767
26.2,0.981913632251178
26.3,0.976937788585757
26.4,0.970278757840086
26.5,0.96288876819487
26.6,0.954207710516551
26.7,0.945336947041135
26.8,0.935114523386236
26.9,0.92421117008219
27,0.91237930328104
27.1,0.899668236292471
27.2,0.886082810414793
27.3,0.871915300833492
27.4,0.856163496170692
27.5,0.840747130096644
27.6,0.824125418871604
27.7,0.806192762840385
27.8,0.78836027812438
27.9,0.769702135204073
28,0.750438168563155
28.1,0.730244476707271
28.2,0.709975930140292
28.3,0.68882080530865
28.4,0.666503601565145
28.5,0.644973020694618
28.6,0.621361332515285
28.7,0.598579599063246
28.8,0.574842687417434
28.9,0.550499564599754
29,0.525842158189292
29.1,0.501363005737332
29.2,0.475968274800278
29.3,0.450762324002645
29.4,0.425916355269359
29.5,0.400621986365938
29.6,0.375594440747872
29.7,0.350377514272121
29.8,0.325593888749769
29.9,0.301178950355189
30,0.277103690305621
30.1,0.253322425466528
30.2,0.230063593616909
30.3,0.206879288620555
30.4,0.184291851984482
30.5,0.161951958750499
30.6,0.140525064078859
30.7,0.120218909948659
30.8,0.100350546549833
30.9,0.0809502470650496
31,0.0636091976665368
31.1,0.0478468065018636
31.2,0.0329977180732575
31.3,0.0200589727939359
31.4,0.00930265448801175
31.5,0.00195908206128442
31.6,0
31.7,0
31.8,0
31.9,0
32,0
32.1,0
32.2,0
32.3,0
32.4,0
32.5,0
32.6,0
32.7,0
32.8,0
32.9,0
33,0
33.1,0
33.2,0
33.3,0
33.4,0
33.5,0
33.6,0
33.7,0
33.8,0
33.9,0
34,0
34.1,0
34.2,0
34.3,0
34.4,0
34.5,0
34.6,0
34.7,0
34.8,0
34.9,0
35,0
35.1,0
35.2,0
35.3,0
35.4,0
35.5,0
35.6,0
35.7,0
35.8,0
35.9,0
36,0
36.1,0
36.2,0
36.3,0
36.4,0
36.5,0
36.6,0
36.7,0
36.8,0
36.9,0
37,0
37.1,0
37.2,0
37.3,0
37.4,0
37.5,0
37.6,0
37.7,0
37.8,0
37.9,0
38,0
38.1,0
38.2,0
38.3,0
38.4,0
38.5,0
38.6,0
38.7,0
38.8,0
38.9,0
39,0
39.1,0
39.2,0
39.3,0
39.4,0
39.5,0
39.6,0
39.7,0
39.8,0
39.9,0
40,0
40.1,0
40.2,0
40.3,0
40.4,0
40.5,0
40.6,0
40.7,0
40.8,0
40.9,0
41,0
41.1,0
41.2,0
41.3,0
41.4,0
41.5,0
41.6,0
41.7,0
41.8,0
41.9,0
42,0
42.1,0
42.2,0
42.3,0
42.4,0
42.5,0
42.6,0
42.7,0
42.8,0
42.9,0
43,0
43.1,0
43.2,0
43.3,0
43.4,0
43.5,0
43.6,0
43.7,0
43.8,0
43.9,0
44,0
44.1,0
44.2,0
44.3,0
44.4,0
44.5,0
44.6,0
44.7,0
44.8,0
44.9,0
45,0
