date,temperature
2017-01-01,4.9
2017-01-02,8
2017-01-03,9.9
2017-01-04,5.2
2017-01-05,5.8
2017-01-06,0.4
2017-01-07,-1
2017-01-08,-1
2017-01-09,2.4
2017-01-10,2.5
2017-01-11,0.3
2017-01-12,6.4
2017-01-13,9.7
2017-01-14,4.2
2017-01-15,5.3
2017-01-16,4.5
2017-01-17,6.1
2017-01-18,6.5
2017-01-19,6.1
2017-01-20,6.5
2017-01-21,9.1
2017-01-22,11.3
2017-01-23,11
2017-01-24,9.6
2017-01-25,8.7
2017-01-26,7.2
2017-01-27,6.8
2017-01-28,10
2017-01-29,6.8
2017-01-30,6.7
2017-01-31,10.6
2017-02-01,12.7
2017-02-02,13.2
2017-02-03,13.6
2017-02-04,13.6
2017-02-05,13.4
2017-02-06,9
2017-02-07,9.4
2017-02-08,10.3
2017-02-09,11.1
2017-02-10,10.1
2017-02-11,10.4
2017-02-12,11.6
2017-02-13,11.8
2017-02-14,10.2
2017-02-15,8.5
2017-02-16,8.6
2017-02-17,9.8
2017-02-18,10.4
2017-02-19,7.8
2017-02-20,7.8
2017-02-21,8.3
2017-02-22,10.6
2017-02-23,12.2
2017-02-24,13.9
2017-02-25,12.9
2017-02-26,10.4
2017-02-27,10.6
2017-02-28,11.3
2017-03-01,12.3
2017-03-02,10.3
2017-03-03,11.1
2017-03-04,13.7
2017-03-05,11.1
2017-03-06,12.4
2017-03-07,9.9
2017-03-08,11.6
2017-03-09,11.4
2017-03-10,13.6
2017-03-11,10.8
2017-03-12,9.4
2017-03-13,10.2
2017-03-14,9.9
2017-03-15,11.2
2017-03-16,11.3
2017-03-17,12.1
2017-03-18,13.2
2017-03-19,13.6
2017-03-20,14.4
2017-03-21,14.4
2017-03-22,13.5
2017-03-23,14.1
2017-03-24,14.2
2017-03-25,15.2
2017-03-26,12.7
2017-03-27,9.5
2017-03-28,10.1
2017-03-29,12.3
2017-03-30,15.5
2017-03-31,15.4
2017-04-01,14.9
2017-04-02,14
2017-04-03,13.9
2017-04-04,14
2017-04-05,14.1
2017-04-06,13.8
2017-04-07,13.8
2017-04-08,14.8
2017-04-09,15.8
2017-04-10,15.9
2017-04-11,15.1
2017-04-12,15.4
2017-04-13,14.9
2017-04-14,15.5
2017-04-15,15.3
2017-04-16,17.1
2017-04-17,16.9
2017-04-18,13.9
2017-04-19,10.8
2017-04-20,9.3
2017-04-21,9.7
2017-04-22,10.7
2017-04-23,13.1
2017-04-24,13.9
2017-04-25,14.3
2017-04-26,17.1
2017-04-27,17.8
2017-04-28,13
2017-04-29,13.2
2017-04-30,14.4
2017-05-01,14.8
2017-05-02,15.3
2017-05-03,15.7
2017-05-04,16.4
2017-05-05,17.3
2017-05-06,18.3
2017-05-07,17.1
2017-05-08,15.2
2017-05-09,16.2
2017-05-10,17.6
2017-05-11,20.4
2017-05-12,20.6
2017-05-13,19.5
2017-05-14,18.9
2017-05-15,19.8
2017-05-16,20.9
2017-05-17,21.9
2017-05-18,22.2
2017-05-19,21.1
2017-05-20,17.1
2017-05-21,18.7
2017-05-22,20.2
2017-05-23,20.2
2017-05-24,20.5
2017-05-25,19.8
2017-05-26,20
2017-05-27,20.6
2017-05-28,21.7
2017-05-29,21.8
2017-05-30,21.5
2017-05-31,21.8
2017-06-01,21.9
2017-06-02,21.7
2017-06-03,21.9
2017-06-04,22.6
2017-06-05,23.3
2017-06-06,23.2
2017-06-07,22.3
2017-06-08,22.2
2017-06-09,22.4
2017-06-10,23.1
2017-06-11,24.7
2017-06-12,24.4
2017-06-13,24.3
2017-06-14,24.9
2017-06-15,25.2
2017-06-16,25.7
2017-06-17,25.9
2017-06-18,24.4
2017-06-19,23.9
2017-06-20,24.6
2017-06-21,25
2017-06-22,25.8
2017-06-23,25.4
2017-06-24,25.6
2017-06-25,26.2
2017-06-26,26.7
2017-06-27,28.1
2017-06-28,26.4
2017-06-29,25.5
2017-06-30,25
2017-07-01,21.6
2017-07-02,22.3
2017-07-03,24.6
2017-07-04,26.1
2017-07-05,26.8
2017-07-06,27
2017-07-07,28
2017-07-08,27.8
2017-07-09,27.8
2017-07-10,28.2
2017-07-11,27.2
2017-07-12,26.9
2017-07-13,27.5
2017-07-14,26.9
2017-07-15,27.2
2017-07-16,25.8
2017-07-17,24.6
2017-07-18,25.3
2017-07-19,25.1
2017-07-20,25.2
2017-07-21,27.1
2017-07-22,28.8
2017-07-23,27.8
2017-07-24,25.6
2017-07-25,24.5
2017-07-26,23.1
2017-07-27,24.3
2017-07-28,24.4
2017-07-29,25.9
2017-07-30,27.2
2017-07-31,28.7
2017-08-01,30.4
2017-08-02,30.7
2017-08-03,31.5
2017-08-04,30.7
2017-08-05,30.4
2017-08-06,29.1
2017-08-07,30.3
2017-08-08,29.3
2017-08-09,31
2017-08-10,29.7
2017-08-11,24.1
2017-08-12,22.6
2017-08-13,23.9
2017-08-14,24.8
2017-08-15,26.4
2017-08-16,27.3
2017-08-17,28
2017-08-18,27.5
2017-08-19,26.4
2017-08-20,25.9
2017-08-21,25.7
2017-08-22,23.7
2017-08-23,23.9
2017-08-24,24.9
2017-08-25,25.1
2017-08-26,26
2017-08-27,27
2017-08-28,28.3
2017-08-29,28
2017-08-30,26.3
2017-08-31,25.7
2017-09-01,24.7
2017-09-02,22.1
2017-09-03,18.9
2017-09-04,20.2
2017-09-05,21.7
2017-09-06,22.6
2017-09-07,22.6
2017-09-08,21.5
2017-09-09,20.9
2017-09-10,21
2017-09-11,19.5
2017-09-12,20.1
2017-09-13,19.8
2017-09-14,20.2
2017-09-15,21.8
2017-09-16,23.1
2017-09-17,19.8
2017-09-18,18.3
2017-09-19,18.1
2017-09-20,15.4
2017-09-21,16.2
2017-09-22,17.3
2017-09-23,17.3
2017-09-24,17.3
2017-09-25,17.6
2017-09-26,17.4
2017-09-27,18.3
2017-09-28,18.6
2017-09-29,17.8
2017-09-30,17.5
2017-10-01,18
2017-10-02,18.3
2017-10-03,19.2
2017-10-04,19.3
2017-10-05,19.1
2017-10-06,18.6
2017-10-07,15.9
2017-10-08,15.5
2017-10-09,17.6
2017-10-10,17.1
2017-10-11,16.9
2017-10-12,16.9
2017-10-13,16.9
2017-10-14,17.2
2017-10-15,17.6
2017-10-16,17.7
2017-10-17,16.9
2017-10-18,16.7
2017-10-19,15.6
2017-10-20,16.5
2017-10-21,16.7
2017-10-22,17.8
2017-10-23,13.8
2017-10-24,14.2
2017-10-25,15.2
2017-10-26,14.8
2017-10-27,15.6
2017-10-28,14.8
2017-10-29,13.7
2017-10-30,15.3
2017-10-31,15.8
2017-11-01,12.6
2017-11-02,13.3
2017-11-03,15.3
2017-11-04,14.6
2017-11-05,15.2
2017-11-06,12.7
2017-11-07,11.1
2017-11-08,10.7
2017-11-09,12.7
2017-11-10,13.1
2017-11-11,12.8
2017-11-12,12.8
2017-11-13,11.8
2017-11-14,8.5
2017-11-15,10.1
2017-11-16,10.1
2017-11-17,11.2
2017-11-18,9.7
2017-11-19,8.3
2017-11-20,8.6
2017-11-21,11.7
2017-11-22,12.8
2017-11-23,12.5
2017-11-24,12.9
2017-11-25,14.6
2017-11-26,11.7
2017-11-27,6.8
2017-11-28,5.8
2017-11-29,11.8
2017-11-30,9.9
2017-12-01,7.7
2017-12-02,8.7
2017-12-03,7.1
2017-12-04,6.2
2017-12-05,5.1
2017-12-06,5.8
2017-12-07,9.2
2017-12-08,11.9
2017-12-09,8.3
2017-12-10,5.3
2017-12-11,14.2
2017-12-12,14.9
2017-12-13,11.1
2017-12-14,11.9
2017-12-15,13.1
2017-12-16,9.1
2017-12-17,5
2017-12-18,4
2017-12-19,2.8
2017-12-20,2.3
2017-12-21,3.7
2017-12-22,6.7
2017-12-23,8.8
2017-12-24,7.3
2017-12-25,6.7
2017-12-26,10.3
2017-12-27,11
2017-12-28,7
2017-12-29,4.3
2017-12-30,6.8
2017-12-31,9.7