onset_day,date,reported,cases_mean,cases_lower,cases_upper,reproduction_number_mean,reproduction_number_lower,reproduction_number_upper,suitability_mean,suitability_lower,suitability_upper,rep_no_factor_mean,rep_no_factor_lower,rep_no_factor_upper,additional_case_prob
98,2017-10-02,0,0.934,0.0,3.0,0.26515098391854697,0.1427685147835844,0.4434944473420507,0.31500284423367975,0.23178335306002631,0.3990443736150213,0.8557051604728249,0.43634365831565697,1.4973063668635538,0.9999719081315135
99,2017-10-03,0,0.758375,0.0,3.0,0.2563953708898439,0.1353454900079202,0.434044488392817,0.2898719171081147,0.20818060611383193,0.37316690595173485,0.901133766602878,0.45666961700734304,1.6103896395949353,0.9998966806953281
100,2017-10-04,1,1.685125,1.0,4.0,0.25735224299029835,0.1326919143165721,0.4441133716712008,0.26724603544866193,0.18754538993797634,0.3490368987836327,0.9838643460444539,0.48180668441283464,1.7774155244175118,0.999680288036114
101,2017-10-05,2,2.67075,2.0,5.0,0.2576348034156214,0.12965373025208263,0.45177639705890743,0.24566277265450145,0.16662708708749518,0.3290170775674792,1.074333834898736,0.5077849742337464,2.0128156297019966,0.9991792024732656
102,2017-10-06,1,1.558,1.0,3.0,0.2471187097375033,0.12053487009144064,0.4370042577754061,0.22534142679849703,0.14792133728621445,0.3073163736231308,1.1275219637991414,0.5133970098821106,2.112584954927414,0.9982945307150121
103,2017-10-07,0,0.470375,0.0,2.0,0.2344285553746992,0.11099673038732934,0.42946019723597045,0.20627403297150315,0.13101168613733488,0.2868800890373167,1.172126121395138,0.5174668060372885,2.221497288209324,0.996482210181902
104,2017-10-08,1,1.4275,1.0,3.0,0.2277878497830593,0.10380967478434244,0.4218080351995039,0.1891005753647863,0.11419700113826242,0.2686664908890684,1.246476895206561,0.5360246768052931,2.416100067056247,0.992794982398281
105,2017-10-09,0,0.344625,0.0,2.0,0.21731398006760683,0.09612515938545316,0.4046248426439262,0.17332056461638448,0.09976240795191206,0.2520405862505558,1.3019027204515965,0.5559227148173042,2.5633459155498572,0.9878680362065331
106,2017-10-10,1,1.329,1.0,3.0,0.21246233354715188,0.08984616078732041,0.4119110937157264,0.15950086901021712,0.0870756040034463,0.23843952955471015,1.38864079354821,0.5633586870281351,2.8516526534656625,0.9790412647350215
107,2017-10-11,0,0.28925,0.0,2.0,0.2031067047738358,0.08021837856097083,0.3998092464648666,0.1469334025035796,0.07477581600584828,0.22556911208554156,1.4465403488545325,0.5612877685041591,3.024056385121713,0.9695461944936135
108,2017-10-12,0,0.262,0.0,2.0,0.19784806283830605,0.07636220147266773,0.39850990149890164,0.13611989084291726,0.06653414343168383,0.21346601776415547,1.525809539231232,0.5831322945357454,3.1856723400111298,0.9537338521995319
109,2017-10-13,0,0.206625,0.0,1.0,0.19615344792902395,0.0719703039345592,0.40503894733781887,0.12689676390390292,0.057922585120803824,0.20363866908531406,1.6283393382936953,0.6094444734432926,3.4811515538408755,0.9328265475555195
110,2017-10-14,1,1.219375,1.0,2.0,0.19773748905958816,0.07083483189372444,0.4187419812851177,0.11918631106070197,0.05297467128022,0.19435436559163954,1.7516703329725196,0.6395507655945337,3.837949491344478,0.905566204564592
111,2017-10-15,1,1.18625,1.0,2.0,0.19462517239054059,0.06598317240276996,0.42212652086900176,0.11192436078236892,0.04715972703183735,0.18629334543690562,1.8426259783440808,0.6451308316276794,4.095076324998683,0.8855509708526489
112,2017-10-16,0,0.1775,0.0,1.0,0.18575064383306783,0.058797603164963394,0.40704380395706813,0.10488891512548695,0.0396802370824452,0.1781311105541107,1.8849417831171535,0.6554454095598058,4.304803385443757,0.8661752818011055
113,2017-10-17,0,0.1475,0.0,1.0,0.18020780974408634,0.052707107396024785,0.414441157348117,0.09905222835904068,0.0343729132489434,0.17235050482005312,1.9424629701086995,0.6499096425418315,4.575137061619789,0.8306013167395491
114,2017-10-18,0,0.123375,0.0,1.0,0.17723739392164548,0.05015892182732805,0.4126360663745877,0.0941902141890763,0.03183751077974224,0.16684433535072554,2.0175835206810935,0.6503279539496538,4.745219943247135,0.79177038195342
115,2017-10-19,1,1.12575,1.0,2.0,0.17782208709919242,0.04745496043490667,0.4261822576194402,0.09061686470040596,0.028900217442289364,0.16311414418772327,2.1074585627142324,0.6675208684221969,5.075034563124727,0.7496804839320366
116,2017-10-20,0,0.11725,0.0,1.0,0.17190915960126485,0.042307736798825005,0.4136408420610615,0.08658907693955144,0.0244005384567258,0.15785759056940515,2.142651196463425,0.6551309171858134,5.3199732872045375,0.7414117760557133
117,2017-10-21,0,0.095125,0.0,1.0,0.1662262139893144,0.03518699716763524,0.4127917483981436,0.08300053056388802,0.01982113781196506,0.15430516349211296,2.1724879111237705,0.6486426538451486,5.397134276028207,0.7029953458879161
118,2017-10-22,0,0.104375,0.0,1.0,0.1631403411499726,0.03069130392583774,0.4134634183296004,0.08042633703553943,0.017628765248885007,0.15083992519146447,2.2011957350589246,0.64283453698391,5.5418704680129744,0.6647019104854726
119,2017-10-23,0,0.081375,0.0,1.0,0.16207419317033625,0.028403110435357478,0.42049177569099705,0.07841187809675512,0.015089218010683176,0.15003339425888845,2.2430199288764205,0.6383881204766391,5.696914117552931,0.6270316380092844
120,2017-10-24,0,0.06475,0.0,1.0,0.1623995564406212,0.025620298327662005,0.4260876758778865,0.07704402969686122,0.013660064727333214,0.1486994136241077,2.286350440410536,0.6328293662267855,5.79019836658788,0.588857329269414
121,2017-10-25,0,0.073125,0.0,1.0,0.1650449107565059,0.026045961448428724,0.43559002775991085,0.07624611436628917,0.013876140657900961,0.14882408316467094,2.3436328175693437,0.6316968059834824,5.991913906855078,0.5499585405928238
122,2017-10-26,0,0.057875,0.0,1.0,0.1695842450182316,0.026658167250631654,0.459580446162485,0.0760065926210402,0.014992602584160795,0.14763974632650345,2.407981500683135,0.6358250791188436,6.230830551978306,0.5107402187592673
123,2017-10-27,0,0.064125,0.0,1.0,0.1752758541253654,0.029876818151181476,0.4746864861912601,0.07620447744651057,0.017317204395318166,0.14769292206681947,2.47530940399001,0.6413924367036169,6.374273465836421,0.4695256810118556
124,2017-10-28,0,0.046625,0.0,1.0,0.18181950117838117,0.032280230128579133,0.4949954347360536,0.07637698741531321,0.0184397420928507,0.1464482446974797,2.554135441344408,0.6378164274548321,6.757405310802759,0.4273728535883424
125,2017-10-29,1,1.03625,1.0,2.0,0.190647230580701,0.03704236638490674,0.5233855177948452,0.0770337875653455,0.02126012574149367,0.14612457202172147,2.6445139360059713,0.6509951831567603,6.978798133819072,0.3832185114386135
126,2017-10-30,0,0.037125,0.0,1.0,0.18850633272465353,0.032906549511169045,0.5228824758650822,0.07618616194247257,0.019936514723900935,0.14518237683341323,2.6454190798688777,0.6478254525179425,6.923548253824397,0.4140183011293764
127,2017-10-31,0,0.032625,0.0,1.0,0.18700366403484112,0.029938294693501014,0.5212279471795684,0.0753764498732889,0.018820797516790142,0.14478007359050915,2.6523688117498696,0.6360349890563664,7.065509801775378,0.3768043949024423
128,2017-11-01,0,0.02,0.0,0.0,0.1857577355774523,0.027669781460299078,0.528267129101592,0.07467964856317093,0.01692752333051783,0.14489243388137943,2.6601459295971455,0.6431960461292424,7.039443853505764,0.34257446630293786
129,2017-11-02,0,0.01925,0.0,0.0,0.1857184906020344,0.027317982160311904,0.5415900107352289,0.07421554544316467,0.016599165503179462,0.14600763077902437,2.6753576469945504,0.6268883096446627,7.2667779916074045,0.31073975964742134
130,2017-11-03,0,0.02175,0.0,0.0,0.18755526590996865,0.026814933425118353,0.5506916711447242,0.07381296482350955,0.01589531695291896,0.1451689021488906,2.7100458227985147,0.6255620728132238,7.3782310122717485,0.28169823402701794
131,2017-11-04,0,0.0165,0.0,0.0,0.18977404400864822,0.027299463877005364,0.5604612968752833,0.07359648691565968,0.016960723025821137,0.14444242106962368,2.7447208215237886,0.6251677604480754,7.726200538693922,0.2549859682149075
132,2017-11-05,1,1.01825,1.0,1.0,0.19195181948119686,0.028583775960243234,0.5736430842576377,0.07348813827954416,0.018221197616957733,0.14316588408174954,2.7787239853524817,0.607086673127618,7.934439288422267,0.2288621057210608
133,2017-11-06,0,0.018625,0.0,0.0,0.18145554451655735,0.02023235749523038,0.5542214324626141,0.07116484736753884,0.012260100378465913,0.14186460703414844,2.7125238300630308,0.5903876580279086,7.589036884684838,0.274946460390104
134,2017-11-07,0,0.014625,0.0,0.0,0.1719047553670749,0.01261857652860418,0.5522961236037851,0.06888947862660662,0.006806035481171563,0.14031811532199695,2.659764998387708,0.579590709918079,7.71422856499691,0.2532286951556105
135,2017-11-08,0,0.00925,0.0,0.0,0.16396877626090317,0.005868535666821432,0.538510665951584,0.06701143742725511,0.002934339757709831,0.13992626682266412,2.6123564287587238,0.5478736370140652,7.468092446726904,0.23268208661385228
136,2017-11-09,0,0.0095,0.0,0.0,0.15660979185175275,0.0005111515005413763,0.5190741461608653,0.06500401566628512,0.00019146620473367492,0.1400363190117394,2.574882310861971,0.5365475283208169,7.532652682471328,0.21294186685152525
137,2017-11-10,0,0.013375,0.0,0.0,0.14971869100382343,8.61943005321676e-06,0.5050114871650592,0.063326469056683,3.352439871864868e-06,0.13917811914264733,2.52813232836343,0.52046212333149,7.458546378936449,0.1943193083554247
138,2017-11-11,0,0.0115,0.0,0.0,0.14241075227672986,2.6464237982692853e-07,0.49030410548495773,0.06159221839652403,7.293440538189089e-08,0.13765218460251813,2.4775559010770394,0.502328236721853,7.519727207271698,0.17674021862357603
139,2017-11-12,0,0.007625,0.0,0.0,0.13604638950803583,6.462345385508473e-08,0.48304483172126866,0.059897133743226645,1.5284536795337152e-08,0.13681937474496056,2.4413403122989856,0.49316131334416724,7.306689224287882,0.15967693067440902
140,2017-11-13,0,0.01425,0.0,0.0,0.13091757203701276,4.209669374415752e-08,0.4736381092174855,0.05842963645678083,1.0205497134565696e-08,0.13551590890323997,2.4101699626321014,0.4786589030223487,7.339718090932746,0.1424760001153655
141,2017-11-14,0,0.00725,0.0,0.0,0.12638107784272914,3.179103177596892e-08,0.45930246380471673,0.05720928754341463,1.001494828337568e-08,0.13611450022605107,2.366081054401334,0.4645116582335448,7.073195434658869,0.1261198846095056
142,2017-11-15,0,0.0095,0.0,0.0,0.12175823628348666,2.3469285681676695e-08,0.4562798530695071,0.05581039427694453,1.0001668326242263e-08,0.1370739317650363,2.3248040678082833,0.4524246981294124,6.970317544116458,0.10952396022427066
143,2017-11-16,0,0.006125,0.0,0.0,0.11788133010850975,2.1808020719231983e-08,0.4468552923362408,0.05447988205518668,1.00001968699855e-08,0.13574435604093252,2.3059652024089714,0.43334407932173896,7.021461571935267,0.09404434983741754
144,2017-11-17,0,0.0085,0.0,0.0,0.11433096516921774,1.8491793293567446e-08,0.4409391937693725,0.0532424960275953,1.0000042373138298e-08,0.13494480166365933,2.2883046543946786,0.43335056742998257,7.081236159538474,0.07915440930293545
145,2017-11-18,0,0.002125,0.0,0.0,0.11099087939874802,1.6687140304125533e-08,0.4366080239807822,0.05222538279967066,1.0000000495948624e-08,0.13408319967598448,2.2606937087182324,0.41894955603101935,7.003788047848996,0.06576545355932056
146,2017-11-19,0,0.007,0.0,0.0,0.10717257582729493,1.4513560851402119e-08,0.4284573524481375,0.051105864492581386,1.0000000023851503e-08,0.13353312840532106,2.2309081586756365,0.3996187763330219,7.010989132951372,0.05363189228594708
147,2017-11-20,0,0.004875,0.0,0.0,0.10396237012978356,1.3667022206475337e-08,0.41951284988136356,0.04996066737705439,1.0000000006163455e-08,0.1330771657448431,2.210867164573905,0.3959676205208289,6.961940318375411,0.04363083403647971
148,2017-11-21,0,0.001875,0.0,0.0,0.1010209732696784,1.2197440056407955e-08,0.40713941827639366,0.0490222892828802,1.0000000003155937e-08,0.13328039973712372,2.1878250460003574,0.38473380715140604,6.931752619797633,0.035320228338596056
149,2017-11-22,0,0.005125,0.0,0.0,0.09813150395962363,1.2082173252129611e-08,0.40898288376417896,0.048099454857732794,1.0000000002391515e-08,0.13209754584684943,2.1596894724825018,0.37770765813863083,6.832460308257672,0.028295828564214618
150,2017-11-23,0,0.00675,0.0,0.0,0.09593187700886904,1.1079922908218007e-08,0.4112386641892272,0.04725366039130256,1.000000000259026e-08,0.13069554312742065,2.1382816215178693,0.363458942135739,6.744959618642933,0.023103530238408415
151,2017-11-24,0,0.002625,0.0,0.0,0.0933847765374275,1.0400741299347416e-08,0.41504538266818836,0.04642736809807397,1.0000000002238348e-08,0.1300730128360585,2.1276328453251185,0.35855442472067445,6.8941785725946465,0.019098794889140517
152,2017-11-25,0,0.003,0.0,0.0,0.09103491886312648,9.925377013403847e-09,0.40513636562820826,0.0455872244320569,1.0000000001357311e-08,0.12894006138633934,2.1013194724888296,0.36369182648762116,6.860565753671403,0.0157501466349457
153,2017-11-26,0,0.00025,0.0,0.0,0.08937474444825422,9.791009761657854e-09,0.40700556239831737,0.0449544084466188,1.0000000001303442e-08,0.12939483280783537,2.077559041917165,0.35562065942350973,6.836005200671709,0.01309026430533036
154,2017-11-27,0,0.001375,0.0,0.0,0.08744178719805491,9.009904101381574e-09,0.40731433905749465,0.04414587038886997,1.0000000000776433e-08,0.12844183400553763,2.0672491993338027,0.3469945003697147,6.883940400180178,0.010773084635844409
155,2017-11-28,0,0.0,0.0,0.0,0.08510112708937514,8.34983068027502e-09,0.3913261238093068,0.04340738490398448,1.0000000000804232e-08,0.12773180500670314,2.043366928606588,0.33333118176475096,6.587880838667524,0.008996638859922275
156,2017-11-29,0,0.000375,0.0,0.0,0.08305523814658645,7.90497264306783e-09,0.3846469977113678,0.04263618395386,1.0000000000656024e-08,0.12636076323339487,2.0312869413706305,0.32642733357531684,6.568040868367906,0.007453207671152947
157,2017-11-30,0,0.0,0.0,0.0,0.08134380942684544,7.665761654684911e-09,0.38664109007039266,0.04176678578962671,1.0000000001085799e-08,0.12553316926498814,2.0200262712247152,0.32735014630437437,6.682864630862898,0.006218515519209612
158,2017-12-01,0,0.00125,0.0,0.0,0.07956098819229228,7.60751281749582e-09,0.38146319296074116,0.04107969331468443,1.0000000000171213e-08,0.1250971279877417,2.009595650232312,0.32622106978215354,6.70583225459762,0.005163322874141325
159,2017-12-02,0,0.0,0.0,0.0,0.0776128550053332,7.313416044223907e-09,0.3761779353290008,0.040300311253587906,9.999999999988665e-09,0.1262293146841803,1.9931533132093058,0.31847838005873325,6.768875137738139,0.004409266169864931
160,2017-12-03,0,0.00075,0.0,0.0,0.07614653698693305,7.205297558690465e-09,0.37719789316916935,0.03978117951110021,9.999999999539924e-09,0.12598169353980526,1.9879994455941485,0.3151163219616356,6.650997156273432,0.003636234990983879
161,2017-12-04,0,0.0,0.0,0.0,0.07413258675210342,6.544433238292853e-09,0.36298290263517835,0.03908175082082197,9.999999999447955e-09,0.12344176861961124,1.9667566800517662,0.3148141460367982,6.712685993991587,0.003095448147190635
162,2017-12-05,0,0.0,0.0,0.0,0.07248918259024177,6.953621762889037e-09,0.35268234660916187,0.03860545073909388,9.999999999754534e-09,0.12499821132453409,1.9518650768799894,0.315001567514929,6.491146596723549,0.0025342684844080958
163,2017-12-06,0,0.0,0.0,0.0,0.07035516622621618,6.675656748693069e-09,0.3630123065537804,0.03799017963818936,9.999999999623802e-09,0.12451294793450639,1.9330601077022136,0.3094280958911938,6.500874277359089,0.0020565455048777255
164,2017-12-07,0,0.0,0.0,0.0,0.06891980755336602,6.24267363224995e-09,0.3543577911705052,0.037550831927670926,9.999999999334302e-09,0.12351351874551363,1.9207839083558873,0.30658735805315385,6.580701561374545,0.001669301479349818
165,2017-12-08,0,0.0,0.0,0.0,0.06726254211902058,6.102782064065441e-09,0.3485205969384497,0.03695147459935607,9.999999998999916e-09,0.1223376962961388,1.9077584558681284,0.29816882860912475,6.4756608543402105,0.0013402236769440882
166,2017-12-09,0,0.0,0.0,0.0,0.06613734011371239,6.002095190346327e-09,0.34824060633995674,0.03628566456154955,9.999999998887608e-09,0.1218402862438603,1.8952559765799988,0.2941804451538708,6.441385912948039,0.001073698210931415
167,2017-12-10,0,0.0,0.0,0.0,0.06495605096908849,5.767424427575276e-09,0.3390469854303775,0.035961561928430766,9.999999999131887e-09,0.122035849425676,1.884146004697665,0.2922916640530585,6.481775402476009,0.0008561448812786109
168,2017-12-11,0,0.0,0.0,0.0,0.06380610528249318,5.61696943897575e-09,0.3366406644163661,0.035483087685408976,9.999999998876227e-09,0.12109247077032727,1.8733573271164148,0.29449317949403814,6.409573137658374,0.0006813094837801463
169,2017-12-12,0,0.0,0.0,0.0,0.06352110847775828,5.716669714431694e-09,0.3399855116042495,0.03525264174200106,9.999999998839158e-09,0.12156315542012604,1.8625658344923672,0.2895851176144638,6.488743846263375,0.0005421117260701157
170,2017-12-13,0,0.0,0.0,0.0,0.06229823664750135,5.562423963472513e-09,0.32947473789889115,0.03498428841168036,9.999999998763926e-09,0.11932060330808378,1.8417881291965645,0.28964428597821296,6.362470048278115,0.000426265241304164
171,2017-12-14,0,0.0,0.0,0.0,0.06171124218226315,5.4314561932765476e-09,0.3216717131915408,0.03466907980992138,9.999999998738758e-09,0.12123353043331443,1.8260012486104555,0.2831680254712085,6.480185781934756,0.00033233454748248556
172,2017-12-15,0,0.0,0.0,0.0,0.06100910140170198,5.201308966856596e-09,0.330010791118902,0.03427364914347086,9.999999998767516e-09,0.11992662317479369,1.8146116017481213,0.28204908788663197,6.272810373702263,0.0002549477031797851
173,2017-12-16,0,0.0,0.0,0.0,0.059141889909200544,5.165380391761269e-09,0.3106379609473299,0.033676366982521,9.999999998600273e-09,0.11923088362368943,1.797891263792826,0.2810392192803693,6.285183031898066,0.00019238913490088116
174,2017-12-17,0,0.0,0.0,0.0,0.05836305386572114,5.067386712390752e-09,0.31231929259849767,0.03329688660339874,9.999999998804582e-09,0.11749550855250449,1.796666320255471,0.26972499160115054,6.4506031904752446,0.0001429390739333379
175,2017-12-18,0,0.0,0.0,0.0,0.05756528260549745,4.801812999471323e-09,0.3140599397314638,0.03295931804158937,9.999999998469838e-09,0.11721637257417343,1.7897536502762896,0.2698131883409878,6.3127848974025005,0.00010469761447794356
176,2017-12-19,0,0.0,0.0,0.0,0.056687972616136964,4.7466850126071366e-09,0.3110879120882405,0.032572187864623146,9.999999998607923e-09,0.11751474464221567,1.7861603758390356,0.2614994442915725,6.310850997949718,7.562242356148988e-05
177,2017-12-20,0,0.0,0.0,0.0,0.05606998538282982,4.763390838575965e-09,0.31665386372424903,0.03213506295104436,9.999999998371923e-09,0.11654880106481658,1.7756516427658666,0.2684589123673142,6.2467297791190814,5.364144090045343e-05
178,2017-12-21,0,0.0,0.0,0.0,0.05556616630251155,4.7005312529151835e-09,0.3179438562022173,0.03191776524400984,9.999999998548307e-09,0.11627311183307204,1.7594165008147755,0.2671820849373088,6.17803276737412,3.72854649458923e-05
179,2017-12-22,0,0.0,0.0,0.0,0.05502418537032516,4.730576315570013e-09,0.3247201545001239,0.031541063465523544,9.999999998469211e-09,0.1153858480520996,1.7483297144424783,0.26738683359832816,5.93228130355084,2.5436435686557333e-05
180,2017-12-23,0,0.0,0.0,0.0,0.054126236042915984,4.457765355555904e-09,0.3149332152600428,0.031369545692980214,9.999999998428422e-09,0.11514711061919924,1.7304024805184006,0.2646998963451051,5.918990636595626,1.6707446603119833e-05
181,2017-12-24,0,0.0,0.0,0.0,0.05337569405861025,4.482395534190209e-09,0.31133336559094776,0.031098707334952676,9.999999998186951e-09,0.11460648533731839,1.7214778996697369,0.2586377592871075,5.930833623247168,1.1040597105879416e-05
182,2017-12-25,0,0.0,0.0,0.0,0.052867528438507436,4.504310054707306e-09,0.3056246200346291,0.030798720510401695,9.999999998273019e-09,0.11409886647073986,1.724435311783683,0.26454856387973547,6.0367645443286255,7.16613271409361e-06
183,2017-12-26,0,0.0,0.0,0.0,0.05159841869205568,4.471913488998506e-09,0.30216376418433993,0.0304534605382225,9.999999998268365e-09,0.11399929225658775,1.714664541400146,0.25965777791054484,6.0622333795452334,4.675120891219284e-06
184,2017-12-27,0,0.0,0.0,0.0,0.05133527396224377,4.357180499212984e-09,0.3066568915079708,0.030181218754470482,9.999999998273433e-09,0.11490944982621408,1.718676881212719,0.2572212818400102,6.030441295756853,2.980336992208732e-06
185,2017-12-28,0,0.0,0.0,0.0,0.05051480976486456,4.1843030409592876e-09,0.29424418169256494,0.029896607142191715,9.999999998377315e-09,0.11398554949015406,1.7101307356222633,0.25269472372601703,6.089509236938513,1.722969224876067e-06
186,2017-12-29,0,0.0,0.0,0.0,0.049626061558880226,4.247943377385204e-09,0.28130551146053123,0.02964159147670695,9.999999998210936e-09,0.11401645875479527,1.6965852679381637,0.2490193628358201,5.966149450094779,1.073749282779743e-06
187,2017-12-30,0,0.0,0.0,0.0,0.048952597845771106,4.078030424122625e-09,0.2737091971512548,0.02931889419361765,9.999999998204294e-09,0.11358624076609292,1.6855271042029063,0.25948330148234994,5.92824096819098,6.332981182646386e-07
