date,temperature,temperature_smoothed,temperature_rolling,suitability,suitability_smoothed,suitability_rolling_temp
2017-01-01,4.9,8.57019834443493,7.642857142857143,0.0,0.0,0.0
2017-01-02,8.0,8.538687331371838,7.671428571428571,0.0,0.0,0.0
2017-01-03,9.9,8.509296418683537,7.442857142857143,0.0,0.0,0.0
2017-01-04,5.2,8.482007101658779,6.871428571428572,0.0,0.0,0.0
2017-01-05,5.8,8.456800581632882,6.707142857142857,0.0,0.0,0.0
2017-01-06,0.4,8.43365780335807,6.221428571428572,0.0,0.0,0.0
2017-01-07,-1.0,8.412559492023858,5.585714285714286,0.0,0.0,0.0
2017-01-08,-1.0,8.393486189879512,5.035714285714286,0.0,0.0,0.0
2017-01-09,2.4,8.37641829241116,4.621428571428572,0.0,0.0,0.0
2017-01-10,2.5,8.361336084026677,4.214285714285714,0.0,0.0,0.0
2017-01-11,0.3,8.34821977320268,3.6571428571428575,0.0,0.0,0.0
2017-01-12,6.4,8.337049527048285,3.6714285714285713,0.0,0.0,0.0
2017-01-13,9.7,8.327805505241598,4.121428571428572,0.0,0.0,0.0
2017-01-14,4.2,8.320467893295595,4.121428571428571,0.0,0.0,0.0
2017-01-15,5.3,8.31501693511112,4.1499999999999995,0.0,0.0,0.0
2017-01-16,4.5,8.311432964775827,3.8999999999999995,0.0,0.0,0.0
2017-01-17,6.1,8.309696437568878,3.6285714285714286,0.0,0.0,0.0
2017-01-18,6.5,8.309787960132493,3.721428571428571,0.0,0.0,0.0
2017-01-19,6.1,8.311688319772466,3.742857142857143,0.0,0.0,0.0
2017-01-20,6.5,8.315378512851158,4.178571428571429,0.0,0.0,0.0
2017-01-21,9.1,8.320839772237665,4.8999999999999995,0.0,0.0,0.0
2017-01-22,11.3,8.328053593781203,5.778571428571429,1.0028630168970267e-14,0.0,0.0
2017-01-23,11.0,8.337001761775124,6.392857142857143,3.542073959347226e-16,0.0,0.0
2017-01-24,9.6,8.347666373380344,6.8999999999999995,0.0,0.0,0.0
2017-01-25,8.7,8.360029861978482,7.5,0.0,0.0,0.0
2017-01-26,7.2,8.374075019426364,7.557142857142857,0.0,0.0,0.0
2017-01-27,6.8,8.389785017185194,7.3500000000000005,0.0,0.0,0.0
2017-01-28,10.0,8.40714342629905,7.764285714285714,0.0,0.0,0.0
2017-01-29,6.8,8.426134236199186,7.871428571428572,0.0,0.0,0.0
2017-01-30,6.7,8.44674187231192,8.028571428571428,0.0,0.0,0.0
2017-01-31,10.6,8.468951212449797,8.35,7.084147918694426e-17,0.0,0.0
2017-02-01,12.7,8.492747601967165,8.792857142857143,7.054754917864558e-11,0.0,0.0
2017-02-02,13.2,8.518116867662991,9.299999999999999,1.2050778195788784e-09,0.0,0.0
2017-02-03,13.6,8.545045330415622,9.807142857142859,8.902034695026299e-09,0.0,0.0
2017-02-04,13.6,8.57351981653557,10.12857142857143,8.902034695026299e-09,0.0,0.0
2017-02-05,13.4,8.603527667824553,10.278571428571427,2.2457159669633153e-09,0.0,0.0
2017-02-06,9.0,8.635056750330305,10.135714285714284,0.0,0.0,0.0
2017-02-07,9.4,8.668095461788699,10.12142857142857,0.0,0.0,0.0
2017-02-08,10.3,8.702632737746521,10.235714285714286,0.0,0.0,0.0
2017-02-09,11.1,8.738658056359789,10.514285714285714,3.579014986946551e-15,0.0,1.0120211312420609e-17
2017-02-10,10.1,8.7761614418644,10.75,0.0,0.0,1.771036979673613e-16
2017-02-11,10.4,8.815133466717798,10.778571428571428,0.0,0.0,1.973441205922025e-16
2017-02-12,11.6,8.855565252411683,11.12142857142857,7.084820066317101e-14,0.0,4.270045185020486e-15
2017-02-13,11.8,8.897448468958231,11.485714285714286,1.7958811128752616e-13,0.0,1.6017558552277946e-14
2017-02-14,10.2,8.940775333053429,11.457142857142856,0.0,0.0,1.5096184954845938e-14
2017-02-15,8.5,8.985538604923246,11.157142857142857,0.0,0.0,5.4217621818104535e-15
2017-02-16,8.6,9.031731583860132,10.828571428571431,0.0,0.0,2.3276486018567653e-16
2017-02-17,9.8,9.07934810245868,10.557142857142855,0.0,0.0,4.048084524968118e-17
2017-02-18,10.4,9.128382519561743,10.328571428571427,0.0,0.0,0.0
2017-02-19,7.8,9.178829711929284,9.928571428571429,0.0,0.0,0.0
2017-02-20,7.8,9.23068506464436,9.842857142857142,0.0,0.0,0.0
2017-02-21,8.3,9.283944460272354,9.764285714285716,0.0,0.0,0.0
2017-02-22,10.6,9.33860426679078,9.785714285714286,7.084147918694426e-17,0.0,0.0
2017-02-23,12.2,9.394661324309357,9.864285714285714,3.3541170137240853e-12,0.0,0.0
2017-02-24,13.9,9.452112930601043,10.135714285714286,2.731003365813872e-08,0.0,0.0
2017-02-25,12.9,9.510956825466502,10.314285714285713,1.331422978558493e-10,0.0,0.0
2017-02-26,10.4,9.571191173956363,10.228571428571428,0.0,0.0,0.0
2017-02-27,10.6,9.632814548476409,10.142857142857142,7.084147918694426e-17,0.0,0.0
2017-02-28,11.3,9.695825909803347,10.221428571428572,1.0028630168970267e-14,0.0,0.0
2017-03-01,12.3,9.760224587039367,10.492857142857144,4.887011509630215e-12,0.0,0.0
2017-03-02,10.3,9.826010256535682,10.614285714285714,0.0,0.0,8.096169049936487e-17
2017-03-03,11.1,9.893182919816388,10.707142857142856,3.579014986946551e-15,0.0,1.4674306403009821e-16
2017-03-04,13.7,9.9617428805355,10.942857142857145,1.503803434939707e-08,0.0,3.137265506850414e-16
2017-03-05,11.1,10.03169072050116,11.178571428571429,3.579014986946551e-15,0.0,6.112792379884445e-15
2017-03-06,12.4,10.103027274802443,11.507142857142856,6.419906005536317e-12,0.0,2.0361813587577517e-14
2017-03-07,9.9,10.175753606075473,11.621428571428572,0.0,0.0,8.249890537292372e-14
2017-03-08,11.6,10.249870977946202,11.692857142857145,7.084820066317101e-14,0.0,1.2133458773876547e-13
2017-03-09,11.4,10.325380827689383,11.635714285714286,1.3253437759982094e-14,0.0,9.026604184609188e-14
2017-03-10,13.6,10.402284738143278,11.614285714285714,8.902034695026299e-09,0.0,7.861533713633917e-14
2017-03-11,10.8,10.480584408921326,11.464285714285714,2.1252443756083406e-16,0.0,1.5326528354203955e-14
2017-03-12,9.4,10.560281626962775,11.392857142857142,0.0,4.270439621838567e-17,1.3023094360624078e-14
2017-03-13,10.2,10.641378236465414,11.364285714285716,0.0,1.0015443396051541e-16,1.2101720763192184e-14
2017-03-14,9.9,10.72387610824379,11.264285714285714,0.0,1.5859714662606565e-16,8.876913172180299e-15
2017-03-15,11.2,10.807777108558252,11.185714285714285,6.8038225779583796e-15,2.1803385630147365e-16,6.343135779242404e-15
2017-03-16,11.3,10.8930830674598,11.257142857142858,1.0028630168970267e-14,2.784658594219375e-16,8.64656977282234e-15
2017-03-17,12.1,10.979795746697057,11.328571428571427,1.821222517817983e-12,3.3989440403624087e-16,1.095000376640216e-14
2017-03-18,13.2,11.067916807232415,11.292857142857143,1.2050778195788784e-09,2.5443937511385058e-15,9.798286769612249e-15
2017-03-19,13.6,11.157447776414235,11.471428571428572,8.902034695026299e-09,5.431595241620337e-15,1.555687175356197e-14
2017-03-20,14.4,11.248390014853825,11.614285714285714,2.4888508852459193e-07,8.36430745025632e-15,7.861533713633917e-14
2017-03-21,14.4,11.340744683055114,11.935714285714285,2.4888508852459193e-07,1.1342567801065266e-14,2.5337590778262314e-13
2017-03-22,13.5,11.434512707846094,12.071428571428571,2.766035040655529e-09,1.4366406182466673e-14,1.3832526618448107e-12
2017-03-23,14.1,11.52969474866151,12.264285714285714,8.730579711552986e-08,3.2623266928320636e-14,4.3395491896637364e-12
2017-03-24,14.2,11.62629116372572,12.307142857142855,1.4116556091855024e-07,8.514269463189618e-14,4.9965039736234675e-12
2017-03-25,15.2,11.724301976186371,12.621428571428572,6.57324855762898e-06,1.3843112956785456e-13,4.59567550554589e-11
2017-03-26,12.7,11.823726840248243,12.857142857142858,7.054754917864558e-11,1.9248838372748726e-13,1.1972913742502005e-10
2017-03-27,9.5,11.924565007357552,12.807142857142855,0.0,2.473140501224372e-13,1.0408045025571842e-10
2017-03-28,10.1,12.02681529248709,12.82142857142857,0.0,6.993781645076023e-13,1.0855150373266151e-10
2017-03-29,12.3,12.130476040571766,12.9,4.887011509630215e-12,2.2883880663127047e-12,1.331422978558493e-10
2017-03-30,15.5,12.235545093145172,13.200000000000001,1.311184218353173e-05,3.898985790111132e-12,1.2050778195788877e-09
2017-03-31,15.4,12.342019755227104,13.435714285714285,1.0932310974897493e-05,5.531130024699708e-12,2.4315442075676725e-09
2017-04-01,14.9,12.449896762511468,13.557142857142859,1.8318978827539285e-06,7.184770731709948e-12,6.272320557438936e-09
2017-04-02,14.0,12.559172248903927,13.585714285714287,3.344603331250949e-08,2.64721607454736e-11,8.025463315830584e-09
2017-04-03,13.9,12.669841714459178,13.549999999999999,2.731003365813872e-08,6.110879765883034e-11,5.83403486784086e-09
2017-04-04,14.0,12.781899993765943,13.52142857142857,3.344603331250949e-08,9.618009681086457e-11,4.080892109449211e-09
2017-04-05,14.1,12.895341224828327,13.564285714285715,8.730579711552986e-08,1.3168422355077678e-10,6.710606247036793e-09
2017-04-06,13.8,13.010158818491542,13.542857142857143,2.117403400376795e-08,2.172979424677145e-10,5.395749178243002e-09
2017-04-07,13.8,13.126345428458638,13.514285714285716,2.117403400376795e-08,8.218390352028973e-10,3.6426064198514622e-09
2017-04-08,14.8,13.243892921945864,13.485714285714286,1.4496096251473513e-06,1.4334610644640505e-09,2.6917037444137843e-09
2017-04-09,15.8,13.362792351021863,13.707142857142857,4.288854164675916e-05,2.052117472457619e-09,1.5476320038995036e-08
2017-04-10,15.9,13.483033924676317,14.164285714285715,5.2814108134501576e-05,2.6777573146894162e-09,1.2192993098890058e-07
2017-04-11,15.1,13.604606981662354,14.521428571428572,4.3937173489947426e-06,9.184719073905265e-09,3.846637646718823e-07
2017-04-12,15.4,13.72749996415666,14.742857142857144,1.0932310974897493e-05,1.6725432055001874e-08,1.231159192229307e-06
2017-04-13,14.9,13.851700392279211,14.700000000000001,1.8318978827539285e-06,2.4346369895328635e-08,1.0673213675407738e-06
2017-04-14,15.5,13.977194839515402,14.707142857142857,1.311184218353173e-05,3.204670874399585e-08,1.094627671655526e-06
2017-04-15,15.3,14.103968909080551,14.735714285714284,8.752779766263256e-06,8.944344217187164e-08,1.2038528881145413e-06
2017-04-16,17.1,14.232007211266675,14.957142857142857,0.0011370975020328947,1.584045693067154e-07,2.0503483156719725e-06
2017-04-17,16.9,14.361293341810391,15.171428571428573,0.0007135839278969283,2.2803777384762605e-07,5.950525355162094e-06
2017-04-18,13.9,14.491809861318538,15.164285714285715,2.731003365813872e-08,2.983336629786372e-07,5.794844554545343e-06
2017-04-19,10.8,14.623538275788745,14.928571428571429,2.1252443756083406e-16,7.750171743176142e-07,1.941123099212951e-06
2017-04-20,9.3,14.756459018259084,14.607142857142858,0.0,1.283157564705204e-06,7.123394140489486e-07
2017-04-21,9.7,14.890551431620718,14.314285714285715,0.0,1.7957771153280045e-06,2.0271957669343162e-07
2017-04-22,10.7,15.0257937526261,14.021428571428572,1.4168295837388853e-16,2.776369028724277e-06,4.498741127030005e-08
2017-04-23,13.1,15.162163097122733,13.828571428571427,6.847587458866646e-10,5.748581451038324e-06,2.292717676215949e-08
2017-04-24,13.9,15.299635446543226,13.685714285714285,2.731003365813872e-08,8.744834209900693e-06,1.4161462970201246e-08
2017-04-25,14.3,15.438185635678314,13.62857142857143,1.9502532472157156e-07,1.1764578821721718e-05,1.0655177453418057e-08
2017-04-26,17.1,15.577787341760963,13.75,0.0011370975020328947,2.08326765090636e-05,1.8106034176582508e-08
2017-04-27,17.8,15.718413074884374,13.957142857142857,0.004468469309684118,3.479057714910301e-05,3.081631917492201e-08
2017-04-28,13.0,15.860034169779398,13.778571428571428,1.6443967219445087e-10,4.8847273083577454e-05,1.9859176934974157e-08
2017-04-29,13.2,16.002620778971878,13.62857142857143,1.2050778195788784e-09,6.37099288360949e-05,1.0655177453418057e-08
2017-04-30,14.4,16.146141867340372,13.435714285714285,2.4888508852459193e-07,0.0001168437269397328,2.4315442075676725e-09
2017-05-01,14.8,16.29056520809325,13.285714285714286,1.4496096251473513e-06,0.00017031155327974513,1.6510655970293566e-09
2017-05-02,15.3,16.435857380180842,13.385714285714286,8.752779766263256e-06,0.00022410103485000799,2.1713846707215702e-09
2017-05-03,15.7,16.581983767159183,13.735714285714284,3.2962975159016566e-05,0.0003433046917292022,1.7229462797386576e-08
2017-05-04,16.4,16.72890855751766,14.242857142857144,0.000210826060275104,0.0005143752017533604,1.6424831683413135e-07
2017-05-05,17.3,16.876594746482624,14.785714285714286,0.0017512565147005082,0.0006863322391472427,1.3949970169178402e-06
2017-05-06,18.3,17.02500413930706,15.328571428571431,0.010074699892390135,0.000906800583246223,9.37550296873022e-06
2017-05-07,17.1,17.174097356053583,15.614285714285716,0.0011370975020328947,0.0013646352972086363,2.4455346740951813e-05
2017-05-08,15.2,17.32383383787817,15.707142857142857,6.57324855762898e-06,0.0018244453463971877,3.3671944193855395e-05
2017-05-09,16.2,17.474171854818316,15.842857142857143,0.000136782867448674,0.0022861025866490266,4.714235585579162e-05
2017-05-10,17.6,17.6250685150886,15.87857142857143,0.0030664334548067954,0.0032421682397205374,5.0687201029985435e-05
2017-05-11,20.4,17.77647977588439,16.064285714285713,0.11576715208618481,0.004303588322059933,8.653927231645332e-05
2017-05-12,20.6,17.9283604556932,16.607142857142858,0.13746287532172685,0.005368299115835397,0.000372598443619198
2017-05-13,19.5,18.08066424810979,17.057142857142857,0.04659877798798499,0.007000932519986268,0.0010054919993184007
2017-05-14,18.9,18.233343737151866,17.37857142857143,0.023025666435679357,0.00914058019624717,0.001992533269677073
2017-05-15,19.8,18.386350414068797,17.735714285714288,0.06593507625225989,0.011284813077636329,0.00401781492775927
2017-05-16,20.9,18.539634695635552,18.135714285714286,0.17484413728504536,0.013883045456382834,0.0077724027795315655
2017-05-17,21.9,18.69314594392199,18.57857142857143,0.34381734189886665,0.01777769108997635,0.014870886924730185
2017-05-18,22.2,18.846832487524765,18.99285714285714,0.407219580806637,0.021676784040271256,0.025381491627731324
2017-05-19,21.1,19.00064164424934,19.264285714285712,0.2032044534163346,0.025589704295650634,0.03668177401302768
2017-05-20,17.1,19.15451974522579,19.178571428571427,0.0011370975020328947,0.03206368500673925,0.033075590749406886
2017-05-21,18.7,19.30841216044147,19.29285714285714,0.017951581406644303,0.038538267948477214,0.037883835100901285
2017-05-22,20.2,19.46226332567156,19.650000000000002,0.0972965469239806,0.045011115415125855,0.05626692712012255
2017-05-23,20.2,19.61601677078675,19.935714285714287,0.0972965469239806,0.05407656093328702,0.07468244927657472
2017-05-24,20.5,19.769615149415646,20.142857142857142,0.12500245466728707,0.06397664114021152,0.09201923116335083
2017-05-25,19.8,19.923000269937756,20.1,0.06593507625225989,0.07386297593926905,0.08806124434287867
2017-05-26,20.0,20.076113127781593,20.057142857142857,0.0788259417617764,0.0858552194163474,0.08410325752240617
2017-05-27,20.6,20.22889393899967,20.135714285714283,0.13746287532172685,0.09996498961819913,0.09135956669327186
2017-05-28,21.7,20.381282175092462,20.335714285714285,0.30531068861129895,0.1140385043193729,0.10983017185547639
2017-05-29,21.8,20.533216599050025,20.478571428571428,0.32456401525508316,0.1291413826360188,0.12302346125705083
2017-05-30,21.5,20.684635302579238,20.521428571428572,0.2668040353237313,0.14800879004525755,0.12767254480752424
2017-05-31,21.8,20.835475744483546,20.514285714285712,0.32456401525508316,0.16680414362354987,0.12678251476077823
2017-06-01,21.9,20.985674790159006,20.49285714285714,0.34381734189886665,0.18551957653366613,0.1243427901972081
2017-06-02,21.7,21.1351687521715,20.535714285714285,0.30531068861129895,0.2087962482521148,0.12945260490101537
2017-06-03,21.9,21.283893431876123,20.87857142857143,0.34381734189886665,0.23244331687342892,0.17217404714480863
2017-06-04,22.6,21.431784162039907,21.157142857142862,0.4972832861426748,0.25595778838941974,0.2122901079745347
2017-06-05,23.3,21.578775850427512,21.378571428571426,0.6648708830166833,0.2819710071229588,0.2474970193875569
2017-06-06,23.2,21.724803024307203,21.592857142857145,0.6407954666454239,0.310086095898702,0.28468212435010254
2017-06-07,22.3,21.869799875835263,21.721428571428568,0.42929403693863044,0.3380028133466017,0.30943640146353785
2017-06-08,22.2,22.013700308273666,21.892857142857142,0.407219580806637,0.3660949370824691,0.34244210428145366
2017-06-09,22.4,22.156437982996152,22.064285714285713,0.45136849307062316,0.3976035024729114,0.377261390341789
2017-06-10,23.1,22.297946367236076,22.242857142857144,0.6167200502741652,0.42884070867504565,0.416680062006063
2017-06-11,24.7,22.43815878252902,22.45714285714286,0.9412812150578076,0.45979183678049446,0.46398246800319143
2017-06-12,24.4,22.57700845380097,22.642857142857142,0.8982875420435125,0.4918020240610969,0.507500573402699
2017-06-13,24.3,22.714428559053868,22.842857142857145,0.8798850957959572,0.5245634401767696,0.5551812472828154
2017-06-14,24.9,22.850352279597598,23.064285714285713,0.9658724418245467,0.5569681131358573,0.6081216872844292
2017-06-15,25.2,22.984712850777775,23.300000000000004,0.9869008331247499,0.5890001260197979,0.6648708830166842
2017-06-16,25.7,23.117443613147984,23.585714285714285,0.9906296566237761,0.6209196727697336,0.7321627514096166
2017-06-17,25.9,23.24847806403308,23.87142857142857,0.9812593132475523,0.6524667624101136,0.795966203577667
2017-06-18,24.4,23.377749909432378,24.0,0.8982875420435125,0.6835894974408051,0.82467775705329
2017-06-19,23.9,23.505193116207447,24.042857142857144,0.802346548794472,0.714181401354609,0.8325645197308142
2017-06-20,24.6,23.630741964501794,24.142857142857142,0.9289856016744382,0.7422179761337667,0.8509669659783695
2017-06-21,25.0,23.754331100337023,24.33571428571429,0.9781680552079165,0.7698169234424047,0.8864573980272276
2017-06-22,25.8,23.875895588331574,24.592857142857138,0.9859444849356642,0.7969637424252333,0.9281073435756253
2017-06-23,25.4,23.995370964486362,24.807142857142857,0.9956336110415832,0.8236440374923649,0.9544550865399893
2017-06-24,25.6,24.112693288982083,24.985714285714284,0.995314828311888,0.8454160789828205,0.9764115390102921
2017-06-25,26.2,24.22779919893291,25.092857142857138,0.9488757144282406,0.8665983821892813,0.9822225592407318
2017-06-26,26.7,24.340625961040242,25.25714285714286,0.8633473195301091,0.8873612664389405,0.9893959125295596
2017-06-27,28.1,24.45111152409175,25.52857142857143,0.47315388542885456,0.9076933127908036,0.9986613795176823
2017-06-28,26.4,24.559194571249254,25.63571428571429,0.9211772872970408,0.92396832391582,0.9936415527089908
2017-06-29,25.5,24.664814572070142,25.657142857142855,1.0,0.9369549508722682,0.9926375873472528
2017-06-30,25.0,24.76791183420692,25.607142857142858,0.9781680552079165,0.9496313916334456,0.9949801731913086
2017-07-01,21.6,24.868427554729102,25.3,0.28605736196751547,0.9619904160183613,0.9912672220831666
2017-07-02,22.3,24.96630387101315,25.15,0.42929403693863044,0.9740249094625318,0.9847176386455415
2017-07-03,24.6,25.061483911145206,25.2,0.9289856016744382,0.9808526819153636,0.9869008331247499
2017-07-04,26.1,25.15391184378253,25.307142857142857,0.9627249279938402,0.9848884449605325,0.9915791070087678
2017-07-05,26.8,25.24353292741988,25.435714285714283,0.8413569424294429,0.9888016500608872,0.9971930356695892
